-0.0012207	8.78174	
0.00335693	8.78326	
-0.00335693	8.78204	
-0.00213623	8.78296	
-0.00396729	8.78326	
-0.00183105	8.78204	
0.000305176	8.78296	
-0.00396729	8.78326	
-0.000610352	8.78296	
0.000915527	8.78265	
-0.000915527	8.78265	
-0.00335693	8.78296	
-0.00305176	8.78326	
-0.000610352	8.78326	
-0.00427246	8.78265	
0.00183105	8.78265	
-0.00274658	8.78235	
-0.00213623	8.78326	
-0.0012207	8.78326	
0.00305176	8.78326	
-0.00152588	8.78265	
0.000610352	8.78265	
-0.00396729	8.78265	
-0.0012207	8.78296	
-0.00396729	8.78235	
-0.000610352	8.78296	
0.00152588	8.78296	
0	8.78235	
-0.00183105	8.78296	
-0.00183105	8.78357	
-0.000915527	8.78296	
-0.000610352	8.78174	
-0.000610352	8.78326	
-0.00366211	8.78357	
-0.0012207	8.78387	
0.000305176	8.78265	
0	8.78265	
-0.000305176	8.78326	
-0.0012207	8.78204	
0.000305176	8.78265	
0.00518799	8.78326	
0.00213623	8.78387	
0.00183105	8.78296	
-0.000915527	8.78326	
0.00549316	8.78296	
0.00244141	8.78296	
-0.000305176	8.78296	
-0.000915527	8.78265	
0.00274658	8.78296	
-0.000610352	8.78296	
-0.00213623	8.78357	
-0.00183105	8.78265	
0.00152588	8.78296	
0.00457764	8.78265	
-0.00244141	8.78265	
-0.0012207	8.78296	
-0.000305176	8.78265	
-0.00396729	8.78265	
0.00518799	8.78296	
0.0012207	8.78296	
-0.000610352	8.78296	
-0.000610352	8.78265	
-0.00335693	8.78235	
0.00396729	8.78296	
0.0012207	8.78296	
0.000915527	8.78265	
-0.00274658	8.78235	
0.00488281	8.78326	
0.000610352	8.78296	
0.00244141	8.78357	
-0.000915527	8.78265	
-0.00366211	8.78265	
-0.00244141	8.78387	
-0.0012207	8.78418	
-0.000305176	8.78296	
-0.00488281	8.78326	
0.00579834	8.78326	
0.000915527	8.78296	
0.00183105	8.78326	
0.0012207	8.78296	
-0.00396729	8.78326	
-0.000610352	8.78326	
0	8.78265	
0	8.78357	
-0.00366211	8.78296	
-0.000610352	8.78357	
-0.00305176	8.78235	
-0.00183105	8.78265	
-0.000915527	8.78357	
0.00305176	8.78265	
0.0012207	8.78296	
0	8.78265	
-0.00213623	8.78326	
0.000915527	8.78326	
-0.00213623	8.78326	
0.00183105	8.78265	
0.000305176	8.78296	
0.00152588	8.78265	
0.000305176	8.78326	
-0.0012207	8.78265	
-0.000610352	8.78265	
0	8.78235	
0.0012207	8.78357	
-0.00305176	8.78265	
0.0012207	8.78326	
0.000305176	8.78235	
0.00427246	8.78265	
-0.00244141	8.78326	
-0.000915527	8.78296	
0	8.78296	
-0.00427246	8.78235	
0.0012207	8.78387	
-0.000610352	8.78296	
0.00274658	8.78296	
0.000305176	8.78265	
-0.00213623	8.78296	
0.00396729	8.78357	
-0.00152588	8.78265	
-0.00183105	8.78296	
-0.000305176	8.78235	
0.00457764	8.78296	
-0.00183105	8.78296	
0.00213623	8.78296	
-0.000610352	8.78265	
-0.00152588	8.78326	
0.00396729	8.78296	
-0.00152588	8.78235	
0.000915527	8.78296	
-0.00274658	8.78296	
0.00579834	8.78357	
-0.000610352	8.78418	
-0.000305176	8.78326	
0.00152588	8.78326	
-0.000610352	8.78326	
-0.00366211	8.78296	
-0.000610352	8.78387	
-0.000610352	8.78235	
-0.0012207	8.78326	
-0.00274658	8.78235	
-0.000915527	8.78296	
-0.00183105	8.78265	
-0.00213623	8.78326	
